volcanoName,eruptionCertainty,startDate,maxVEI,evidenceMethod,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Raoul Island,1,1200 BCE,4,Radiocarbon (uncorrected),-29.27,-177.92,516,New Zealand,Stratovolcano,0,0,0,0
"Haylan, Jabal",1,1200 BCE,0,Anthropology,15.4,45.1,1550,Yemen,Volcanic field,225754,225754,225754,4164209
Ichinsky,1,1200 BCE,2,Tephrochronology,55.678,157.718,3596,Russia,Stratovolcano,0,0,34,2670
Izu-Oshima,1,1200 BCE,1,Tephrochronology,34.724,139.394,746,Japan,Stratovolcano,2381,8037,8375,11837468
Aogashima,1,1200 BCE,2,Radiocarbon (corrected),32.458,139.759,423,Japan,Stratovolcano,232,232,232,8559
Hakoneyama,1,1200 BCE,2,Radiocarbon (corrected),35.233,139.021,1438,Japan,Complex,14140,53755,1543563,30282197
Myokosan,1,1200 BCE,4,Tephrochronology,36.891,138.114,2454,Japan,Stratovolcano,1563,11033,561142,4118863
Redoubt,1,1210 BCE,3,Varve Count,60.485,-152.742,3108,United States,Stratovolcano,0,0,1,32410
Katla,1,1220 BCE,3,Radiocarbon (corrected),63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Guagua Pichincha,1,1230 BCE,2,Radiocarbon (corrected),-0.171,-78.598,4784,Ecuador,Stratovolcano,449,32488,2064475,3581801
Villarrica,1,1230 BCE,4,Radiocarbon (uncorrected),-39.42,-71.93,2847,Chile,Stratovolcano,477,1067,35118,667788
"Ruiz, Nevado del",1,1245 BCE,2,Radiocarbon (uncorrected),4.892,-75.324,5279,Colombia,Stratovolcano,3849,20146,507608,4252435
Arenal,1,1250 BCE,4,Radiocarbon (corrected),10.463,-84.703,1670,Costa Rica,Stratovolcano,3429,15643,96512,3027485
Aguilera,1,1250 BCE,5,Radiocarbon (corrected),-50.33,-73.75,2546,Chile,Stratovolcano,0,0,103,5698
"Negra, Sierra",1,1250 BCE,0,Radiocarbon (uncorrected),-0.83,-91.17,1124,Ecuador,Shield,408,408,983,9884
Hekla,1,1250 BCE,3,Tephrochronology,63.983,-19.666,1490,Iceland,Stratovolcano,0,0,298,22845
Askja,1,1250 BCE,0,Tephrochronology,65.033,-16.783,1080,Iceland,Stratovolcano,0,0,0,13028
Candlemas Island,1,1250 BCE,1,Ice Core,-57.08,-26.67,550,United Kingdom,Stratovolcano,0,0,0,0
Jordan Craters,1,1250 BCE,2,Radiocarbon (uncorrected),43.147,-117.46,1473,United States,Volcanic field,0,0,28,232946
Hachijojima,1,1250 BCE,3,Tephrochronology,33.137,139.766,854,Japan,Stratovolcano,11275,13560,13564,14082
Miyakejima,1,1250 BCE,3,Tephrochronology,34.094,139.526,775,Japan,Stratovolcano,1848,3189,3474,95663
Niijima,1,1250 BCE,3,Tephrochronology,34.397,139.27,432,Japan,Lava dome,3060,3349,6139,1347661
Iwatesan,1,1250 BCE,3,Radiocarbon (corrected),39.853,141.001,2038,Japan,Complex,439,18462,415920,2976795
Akita-Yakeyama,1,1250 BCE,1,Radiocarbon (corrected),39.964,140.757,1366,Japan,Stratovolcano,127,721,55493,3122037
Taranaki,1,1250 BCE,4,Tephrochronology,-39.3,174.07,2518,New Zealand,Stratovolcano,200,230,77381,104499
Taupo,1,1250 BCE,3,Radiocarbon (corrected),-38.82,176.0,760,New Zealand,Caldera,21456,21456,26674,161966
Asosan,1,1270 BCE,1,Radiocarbon (uncorrected),32.884,131.104,1592,Japan,Caldera,75559,75559,234591,6507519
Katla,1,1280 BCE,3,Tephrochronology,63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Katla,1,1290 BCE,3,Tephrochronology,63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Agua de Pau,1,1290 BCE,4,Radiocarbon (uncorrected),37.77,-25.47,947,Portugal,Stratovolcano,406,17272,113131,119653
Cayambe,1,1300 BCE,3,Tephrochronology,0.029,-77.986,5790,Ecuador,Compound,70,1148,109630,3154986
Mauna Loa,1,1300 BCE,0,Radiocarbon (uncorrected),19.475,-155.608,4170,United States,Shield,45,45,1906,175315
Fujisan,1,1300 BCE,2,Radiocarbon (corrected),35.361,138.728,3776,Japan,Stratovolcano,570,1759,906969,25022187
Taveuni,1,1300 BCE,2,Tephrochronology,-16.82,-179.97,1241,Fiji,Shield,692,3220,19186,146131
Vulcano,1,1300 BCE,3,Tephrochronology,38.404,14.962,500,Italy,Stratovolcano,2259,23059,86766,2093800
Redoubt,1,1310 BCE,3,Varve Count,60.485,-152.742,3108,United States,Stratovolcano,0,0,1,32410
"Bravo, Cerro",1,1310 BCE,4,Radiocarbon (uncorrected),5.091,-75.293,3985,Colombia,Stratovolcano,1679,4916,538690,3929468
Soufriere Guadeloupe,1,1310 BCE,3,Radiocarbon (corrected),16.044,-61.664,1467,France,Stratovolcano,8839,71345,256899,482449
Yucamane,1,1320 BCE,5,Radiocarbon (uncorrected),-17.184,-70.196,5495,Peru,Stratovolcano,51,692,10396,467713
