volcanoName,startDate,endDate,SO2_Mass_kt,SO2_Altitude
Kilauea,1986 Jun 26,1986 Jun 26,37.200,5.2
Kilauea,1986 Jun 02,1986 Jun 02,48.000,5.2
Nyamulagira,1986 Jul 16,1986 Jul 16,983.000,9.0
Kilauea,1986 Jan 27,1986 Jan 27,25.000,5.2
Kilauea,1986 Jan 01,1986 Jan 01,7.900,5.2
Kilauea,1986 Feb 22,1986 Feb 22,37.400,5.2
Pavlof,1986 Apr 19,1986 Apr 19,70.000,16.0
Kilauea,1986 Apr 13,1986 Apr 13,24.200,5.2
Kilauea,1985 Sep 24,1985 Sep 24,35.300,5.2
"Ruiz, Nevado del",1985 Sep 12,1985 Sep 12,90.000,15.0
Kilauea,1985 Sep 02,1985 Sep 02,57.700,5.2
Kilauea,1985 Oct 21,1985 Oct 21,23.900,5.2
Ulawun,1985 Nov 20,1985 Nov 20,70.000,8.0
"Ruiz, Nevado del",1985 Nov 14,1985 Nov 14,660.000,25.0
Kilauea,1985 Nov 13,1985 Nov 13,11.000,5.2
Soputan,1985 May 20,1985 May 20,12.000,11.8
Kanlaon,1985 Mar 14,1985 Mar 14,10.000,12.4
Kilauea,1985 Jun 12,1985 Jun 12,30.800,5.2
Kilauea,1985 Jul 26,1985 Jul 26,17.900,5.2
Kilauea,1985 Jul 06,1985 Jul 06,33.100,5.2
Bezymianny,1985 Jul 01,1985 Jul 01,10.000,12.9
Heard,1985 Jan 14,1985 Jan 14,10.000,7.7
Kilauea,1985 Jan 03,1985 Jan 03,47.900,5.2
Kilauea,1985 Feb 04,1985 Feb 04,48.500,5.2
Kilauea,1985 Apr 21,1985 Apr 21,72.700,5.2
Kilauea,1984 Sep 19,1984 Sep 19,37.900,5.2
Mayon,1984 Sep 13,1984 Sep 13,50.000,12.5
Krafla,1984 Sep 05,1984 Sep 05,375.000,5.8
Bezymianny,1984 Oct 13,1984 Oct 13,10.000,9.0
Kilauea,1984 Nov 19,1984 Dec 03,124.100,5.2
Kilauea,1984 Nov 02,1984 Nov 02,15.200,5.2
Soputan,1984 May 24,1984 May 24,166.000,16.0
Fernandina,1984 Mar 31,1984 Mar 31,290.000,5.0
Mauna Loa,1984 Mar 25,1984 Mar 25,1197.000,11.0
Kilauea,1984 Mar 04,1984 Mar 04,13.500,5.2
Kilauea,1984 Jun 30,1984 Jul 08,80.800,5.2
Kilauea,1984 Jun 07,1984 Jun 07,30.200,5.2
Kilauea,1984 Jul 28,1984 Jul 28,29.800,5.2
Kilauea,1984 Jan 30,1984 Feb 14,51.800,5.2
Nyamulagira,1984 Feb 23,1984 Feb 23,1384.000,5.0
Soputan,1984 Aug 31,1984 Aug 31,26.000,11.8
Kilauea,1984 Aug 19,1984 Aug 19,45.900,5.2
Kilauea,1984 Apr 18,1984 Apr 18,29.800,5.2
Kilauea,1983 Sep 06,1983 Sep 15,12.600,5.2
Kilauea,1983 Oct 05,1983 Oct 05,11.600,5.2
Kilauea,1983 Nov 29,1983 Nov 29,14.500,5.2
Pavlof,1983 Nov 15,1983 Nov 15,50.000,7.5
Kilauea,1983 Nov 05,1983 Nov 05,31.800,5.2
Grimsvotn,1983 May 29,1983 May 29,10.000,8.0
Kilauea,1983 Mar 29,1983 Mar 29,1.000,5.2
Colo,1983 Jul 24,1983 Jul 24,200.000,15.0
Kilauea,1983 Jul 21,1983 Jul 21,11.000,5.2
Kilauea,1983 Jul 03,1983 Jul 03,5.500,5.2
Lopevi,1982 Oct 25,1982 Oct 25,27.000,11.4
Cameroon,1982 Oct 18,1982 Oct 18,3.000,9.1
Soputan,1982 Nov 10,1982 Nov 10,13.000,11.8
"Chichon, El",1982 Mar 29,1982 Apr 04,8090.000,17.0
Galunggung,1982 Jun 24,1982 Jun 24,430.000,14.0
Galunggung,1982 Jul 13,1982 Jul 17,440.000,12.2
Wolf,1982 Aug 29,1982 Aug 29,1080.000,4.0
Soputan,1982 Aug 27,1982 Aug 27,90.000,15.0
Galunggung,1982 Aug 15,1982 Sep 18,130.000,4.0
Galunggung,1982 Apr 05,1982 Jun 03,730.000,12.2
Pagan,1981 May 15,1981 May 15,320.000,20.0
Bezymianny,1981 Jun 13,1981 Jun 13,10.000,8.0
Nyamulagira,1981 Dec 25,1981 Dec 25,4122.000,8.0
Alaid,1981 Apr 27,1981 May 08,1110.000,12.3
Hekla,1981 Apr 09,1981 Apr 09,10.000,7.0
Etna,1980 Sep 02,1980 Sep 06,70.000,9.0
Krafla,1980 Oct 19,1980 Oct 19,60.000,5.8
Ulawun,1980 Oct 07,1980 Oct 07,200.000,20.0
St. Helens,1980 May 18,1980 May 25,875.000,14.0
Makushin,1980 May 01,1980 May 01,10.000,12.0
St. Helens,1980 Jun 13,1980 Jun 13,35.000,16.0
Krafla,1980 Jul 11,1980 Jul 11,250.000,5.8
Nyamulagira,1980 Jan 31,1980 Jan 31,884.000,8.0
Lopevi,1980 Aug 18,1980 Aug 18,38.000,11.4
Hekla,1980 Aug 18,1980 Aug 18,460.000,15.0
"Negra, Sierra",1979 Nov 13,1979 Nov 13,2524.000,14.0
Karkar,1979 Mar 08,1979 Mar 08,50.000,11.8
"Azul, Cerro",1979 Feb 01,1979 Feb 01,358.000,2.0
Etna,1979 Aug 04,1979 Aug 04,10.000,8.4
Soufriere St. Vincent,1979 Apr 13,1979 Apr 13,3.000,18.0
Ambrym,1978 Dec 05,1978 Dec 05,87.000,11.3
